iter	Passed	Remaining
938	27072	1758
939	27098	1729
940	27122	1700
941	27149	1671
942	27202	1644
943	27226	1615
944	27246	1585
945	27275	1556
946	27298	1527
947	27324	1498
948	27353	1469
949	27376	1440
950	27397	1411
951	27418	1382
952	27440	1353
953	27465	1324
954	27491	1295
955	27516	1266
956	27544	1237
957	27572	1208
958	27596	1179
959	27640	1151
960	27672	1123
961	27703	1094
962	27730	1065
963	27755	1036
964	27786	1007
965	27808	978
966	27831	949
967	27855	920
968	27877	891
969	27905	863
970	27928	834
971	27957	805
972	27982	776
973	28027	748
974	28063	719
975	28087	690
976	28115	661
977	28143	633
978	28169	604
979	28233	576
980	28264	547
981	28285	518
982	28314	489
983	28339	460
984	28365	431
985	28392	403
986	28422	374
987	28445	345
988	28472	316
989	28493	287
990	28516	258
991	28544	230
992	28571	201
993	28598	172
994	28624	143
995	28653	115
996	28674	86
997	28694	57
998	28717	28
999	28749	0
